threshold,precision,recall,f1,fbeta,mcc,auc
0.3,0.2344077568134172,0.8804133858267716,0.3702400662251656,0.5675761421319797,0.4227054415993714,0.9586109625857212
0.31,0.24416295789113318,0.8774606299212598,0.3820236756119771,0.5777518550921876,0.43226526459443315,0.9586109625857212
0.32,0.2535171034778262,0.8735236220472441,0.39298167930480987,0.5866023331901253,0.4408583477203915,0.9586109625857212
0.33,0.26274217585692994,0.8676181102362205,0.4033401967513155,0.5940827604798491,0.448500278641904,0.9586109625857212
0.34,0.27237504843084076,0.8649114173228346,0.41428487241440276,0.6026885223414834,0.4572417190801814,0.9586109625857212
0.35,0.281021016184878,0.8587598425196851,0.42346660195352787,0.6085440278988666,0.4637763225049941,0.9586109625857212
0.36,0.2906276150627615,0.8545767716535433,0.43374547271137753,0.6156491526625542,0.4716112971881486,0.9586109625857212
0.37,0.2986417510165239,0.8494094488188977,0.44191256480829544,0.62052849182096,0.4774611398191419,0.9586109625857212
0.38,0.3071006975496333,0.84498031496063,0.45047881411517776,0.6257744733581165,0.48378895582213194,0.9586109625857212
0.39,0.31670382757339277,0.8388287401574803,0.4598057728621527,0.6308290155440415,0.49041849329122766,0.9586109625857212
0.4,0.3269434543878239,0.8351377952755905,0.469920387677397,0.637083755678192,0.4981960816805718,0.9586109625857212
0.41,0.3376610406471587,0.8319389763779528,0.4803580308304326,0.643534203814382,0.5063479050845068,0.9586109625857212
0.42,0.3468208092485549,0.8267716535433071,0.4886561954624782,0.6475485661424607,0.5123370858119466,0.9586109625857212
0.43,0.35659328916435135,0.8211122047244095,0.49724333184324243,0.6514015772624346,0.5184981872855261,0.9586109625857212
0.44,0.3656470070422535,0.8176673228346457,0.5053223844282239,0.6555792297979798,0.5246712123757382,0.9586109625857212
0.45,0.37497166175470414,0.8139763779527559,0.5134254229396245,0.6595422282478667,0.5308408089410075,0.9586109625857212
0.46,0.3852085524009814,0.81126968503937,0.5223797829359106,0.6643159379407616,0.5379381575985691,0.9586109625857212
0.47,0.39557266602502406,0.8090551181102362,0.5313510019392372,0.6691631390426571,0.5451670304225027,0.9586109625857212
0.48,0.40547911243337054,0.8048720472440944,0.5392795317780892,0.6724088311474736,0.5511892880935281,0.9586109625857212
0.49,0.4147553516819572,0.8009350393700787,0.546507723304231,0.675199137072685,0.5566930404034202,0.9586109625857212
0.5,0.42502951593860683,0.797244094488189,0.5544622229828015,0.6784203693622011,0.5629014776805218,0.9586109625857212
0.51,0.43675514626218853,0.7935531496062992,0.5634171907756813,0.6821065989847716,0.5700209953483357,0.9586109625857212
0.52,0.44591212458286983,0.7891240157480315,0.5698294243070362,0.6838536335721597,0.57486640186975,0.9586109625857212
0.53,0.4562080297185312,0.7856791338582677,0.5772394468046642,0.6865190281659858,0.5807844880352269,0.9586109625857212
0.54,0.4675286511901264,0.7829724409448819,0.5854645814167433,0.6898794553811466,0.5875819370583029,0.9586109625857212
0.55,0.4770435044407647,0.7797736220472441,0.5919491921173065,0.6919516136075812,0.5928218399495307,0.9586109625857212
0.56,0.48789571694599626,0.7736220472440944,0.598401218119528,0.692511013215859,0.5976567297266846,0.9586109625857212
0.57,0.49968,0.7684547244094488,0.6055846422338569,0.6938149826712878,0.6033628136894993,0.9586109625857212
0.58,0.507866273352999,0.7625492125984252,0.6096793232343104,0.6930405224080866,0.6062647612877586,0.9586109625857212
0.59,0.5190492245448416,0.7576279527559056,0.6160464185674269,0.6938435190192898,0.6114150615735467,0.9586109625857212
0.6,0.5287912848002767,0.7524606299212598,0.621102873971768,0.6937701347611054,0.615413991115093,0.9586109625857212
0.61,0.539843472073995,0.7468011811023622,0.6266776791245096,0.6936191608008044,0.6199078398268978,0.9586109625857212
0.62,0.5503918352469473,0.7431102362204725,0.6323945136634908,0.6944763832037897,0.6248260598202752,0.9586109625857212
0.63,0.5607703814510098,0.7379429133858267,0.6372715682107948,0.6940844288094797,0.6288807139456349,0.9586109625857212
0.64,0.5733256351039261,0.7330216535433071,0.6434125269978401,0.6943408539996271,0.634237923681301,0.9586109625857212
0.65,0.5858585858585859,0.7278543307086615,0.6491824865576649,0.694203238676367,0.6393255042007905,0.9586109625857212
0.66,0.5971120601993085,0.7224409448818898,0.6538247411201425,0.6933358522646768,0.6434125610380234,0.9586109625857212
0.67,0.6072248903737733,0.7155511811023622,0.656952445498701,0.6909004514136374,0.6460292977133179,0.9586109625857212
0.68,0.6200686106346484,0.7116141732283464,0.6626947754353804,0.6912045889101338,0.6514781998616862,0.9586109625857212
0.69,0.6321585903083701,0.7062007874015748,0.6671315667131567,0.6900365454895173,0.6556700337818052,0.9586109625857212
0.7,0.6464463558171119,0.702755905511811,0.6734260787550106,0.6907226468027473,0.661905159834556,0.9586109625857212
0.71,0.6589904628983485,0.6970964566929134,0.677508071266292,0.6891267331549501,0.6659638049370854,0.9586109625857212
0.72,0.6708074534161491,0.6909448818897638,0.6807272727272727,0.6868212503668917,0.6692541086512186,0.9586109625857212
0.73,0.6823299069995106,0.6860236220472441,0.6841717791411043,0.6852816832169895,0.6728882876069072,0.9586109625857212
0.74,0.6960907944514502,0.6791338582677166,0.6875077842819778,0.6824588299292814,0.6765692631980064,0.9586109625857212
0.75,0.7112785862785863,0.6734744094488189,0.6918604651162791,0.6807103064066852,0.681461851203057,0.9586109625857212
0.76,0.7242666666666666,0.6683070866141733,0.6951625287944715,0.6787963610916726,0.6853430010712833,0.9586109625857212
0.77,0.7364957499314505,0.6609251968503937,0.6966670989495526,0.674772647339597,0.6875369153919131,0.9586109625857212
0.78,0.7474690663667042,0.6540354330708661,0.6976377952755906,0.6708055723803755,0.6892420823038171,0.9586109625857212
0.79,0.7582322357019065,0.6459153543307087,0.6975817167153867,0.6656354599857998,0.6900534522658698,0.9586109625857212
0.8,0.7714285714285715,0.6377952755905512,0.6982758620689655,0.66068515497553,0.6918982514684916,0.9586109625857212
0.81,0.7820238459186794,0.6294291338582677,0.6974778459441036,0.6549905259384442,0.6922188274800493,0.9586109625857212
0.82,0.7926599749058971,0.6218011811023622,0.696911196911197,0.6498148529109236,0.692851982925875,0.9586109625857212
0.83,0.8044041450777202,0.6112204724409449,0.6946308724832215,0.6420595533498761,0.6921593531369906,0.9586109625857212
0.84,0.8159733777038269,0.6033464566929134,0.6937332013014571,0.6365193915165361,0.6928030895914129,0.9586109625857212
0.85,0.8297138917614616,0.5922736220472441,0.691170136396267,0.6282298898574933,0.6923636015376056,0.9586109625857212
0.86,0.8389619623178102,0.5807086614173228,0.6863457903155445,0.6188053909486603,0.6894462484126843,0.9586109625857212
0.87,0.8506208911614317,0.5730807086614174,0.6847985886503969,0.6130883436874803,0.6898256516438058,0.9586109625857212
0.88,0.8627599243856333,0.5615157480314961,0.6802802205991951,0.603671763398762,0.6878154531555825,0.9586109625857212
0.89,0.8755432635322007,0.5452755905511811,0.6720242608036391,0.5897695214776175,0.6828759815379394,0.9586109625857212
0.9,0.8867380560131796,0.5297736220472441,0.6632778804682686,0.5761614215371441,0.6774365832805544,0.9586109625857212
